Ticker,DisplayTicker,Company,Market,Currency,Quantity,Price,MarketValue,PriceSource,RetrievedAt
700,0700.HK,"Tencent",HK,HKD,700.0,463.0,324100.0,IBKR Flex,2026-05-08T10:53:49+08:00
9988,9988.HK,"Alibaba HK",HK,HKD,6500.0,134.2,872300.0,IBKR Flex,2026-05-08T10:53:49+08:00
AMD,AMD,"Advanced Micro Devices",US,USD,75.0,421.39,31604.25,IBKR Flex,2026-05-08T10:53:49+08:00
BABA,BABA,"Alibaba ADR",US,USD,1200.0,141.44,169728.0,IBKR Flex,2026-05-08T10:53:49+08:00
GOOGL,GOOGL,"Alphabet",US,USD,100.0,398.04,39804.0,IBKR Flex,2026-05-08T10:53:49+08:00
H78,H78.SI,"Hongkong Land",SG,USD,1500.0,7.97,11955.0,IBKR Flex,2026-05-08T10:53:49+08:00
JEPG,JEPG,"JPMorgan income ETF",US,USD,288.0,26.09,7513.92,IBKR Flex,2026-05-08T10:53:49+08:00
JEPI,JEPI,"JPMorgan Equity Premium Income ETF",US,USD,400.0,24.65,9860.0,IBKR Flex,2026-05-08T10:53:49+08:00
JEPQ,JEPQ,"JPMorgan Nasdaq Equity Premium Income ETF",US,USD,400.0,27.185,10874.0,IBKR Flex,2026-05-08T10:53:49+08:00
SLV,SLV,"iShares Silver Trust",US,USD,500.0,70.13,35065.0,IBKR Flex,2026-05-08T10:53:49+08:00
SOFI,SOFI,"SoFi Technologies",US,USD,2000.0,16.3,32600.0,IBKR Flex,2026-05-08T10:53:49+08:00
